نام دوره,مدرس,شهریه دوره,تعداد ساعت کلاس,تعداد جلسات
فتوشاپ مقدماتی,آقای رئیسه,8720000,20,7
دوره جامع UI-UX,گروه مدرسین,35000000,40,12
